lhs,relation,rhs
3d,is-a,field
3d,used-for,3d-printing
3d,used-for,game
3d,used-for,virtual-reality
3d,used-in,graphics
actions,is-a,tool
actions,used-for,automation
actions,used-for,cicd
actions,used-in,software-development-process
activitypub,is-a,protocol
activitypub,used-in,social-network
ada,is-a,programming-language
ai,is-a,field
ai,used-in,scientific
ajax,is-a,tool
ajax,used-for,dynamic
ajax,used-in,mobile
ajax,used-in,webapp
ajax,works-with,javascript
algolia,is-a,api
algolia,used-for,search
algolia,used-in,mobile
algolia,used-in,webapp
algorithm,is-a,cs-basics
algorithm,used-in,education
amphp,is-a,framework
amphp,used-for,event-driven
amphp,used-in,under-revision
amphp,works-with,php
android,is-a,operating-system
android,is-a,platform
android,used-in,mobile
angular,is-a,framework
angular,is-a,platform
angular,used-for,frontend
angular,used-in,desktop
angular,used-in,mobile
angular,used-in,webapp
anidb,is-a,catalogue
anidb,is-a,forum
anidb,used-in,entertainment
animal-crossing,is-a,application
animal-crossing,is-a,game
animal-crossing,used-in,entertainment
anki,is-a,application
anki,used-in,education
ansible,is-a,tool
ansible,used-for,automation
ansible,used-for,cicd
ansible,used-for,manage
ansible,used-for,monitoring
ansible,used-in,software-development-process
antlr,is-a,tool
antlr,used-for,parsing
antlr,used-in,software-development
api,is-a,under-revision
apm,is-a,process
apm,used-for,manage
apm,used-for,monitoring
apm,used-in,software-development-process
archlinux,is-a,operating-system
arduino,is-a,organization
arduino,used-in,hardware
arduino,used-in,software-development-process
aspnet,is-a,framework
aspnet,used-for,backend
aspnet,used-for,frontend
aspnet,used-in,webapp
assemblyscript,is-a,compiler
assemblyscript,used-in,software-development
assemblyscript,works-with,typescript
atom,is-a,text-editor
atom,used-in,software-development
aurelia,is-a,framework
aurelia,used-for,frontend
aurelia,used-in,desktop
aurelia,used-in,mobile
aurelia,used-in,webapp
aurelia,works-with,javascript
auth0,is-a,service
auth0,used-for,authentication
auth0,used-for,security
auth0,used-in,mobile
auth0,used-in,webapp
avalonia,is-a,framework
avalonia,used-for,frontend
avalonia,used-for,ui-ux
avalonia,used-in,desktop
avalonia,used-in,mobile
avalonia,works-with,dotnet
awesome,is-a,artifact
awesome,used-in,education
awesomewm,is-a,application
awesomewm,is-a,tool
awesomewm,used-for,manage
awesomewm,used-in,visualization
awesomewm,works-with,x-window
aws,is-a,service
aws,used-for,as-a-service
aws,used-in,cloud-computing
azure,is-a,service
azure,used-for,as-a-service
azure,used-in,cloud-computing
babel,is-a,compiler
